DATE-YMD,HSST= HadISST Temperature (C),
1900-01-15,      28.110,
1900-02-15,      29.100,
1900-03-15,      29.790,
1900-04-15,      29.480,
1900-05-15,      28.890,
1900-06-15,      28.200,
1900-07-15,      27.750,
1900-08-15,      27.340,
1900-09-15,      27.110,
1900-10-15,      26.620,
1900-11-15,      26.740,
1900-12-15,      26.860,
1901-01-15,      27.280,
1901-02-15,      28.100,
1901-03-15,      28.590,
1901-04-15,      28.510,
1901-05-15,      27.940,
1901-06-15,      27.190,
1901-07-15,      27.030,
1901-08-15,      26.700,
1901-09-15,      26.390,
1901-10-15,      26.440,
1901-11-15,      26.720,
1901-12-15,      26.930,
1902-01-15,      27.650,
1902-02-15,      28.420,
1902-03-15,      29.200,
1902-04-15,      29.000,
1902-05-15,      28.860,
1902-06-15,      28.180,
1902-07-15,      28.460,
1902-08-15,      27.630,
1902-09-15,      27.550,
1902-10-15,      27.510,
1902-11-15,      27.520,
1902-12-15,      27.160,
1903-01-15,      27.740,
1903-02-15,      28.000,
1903-03-15,      28.870,
1903-04-15,      28.700,
1903-05-15,      28.190,
1903-06-15,      27.770,
1903-07-15,      27.060,
1903-08-15,      26.740,
1903-09-15,      26.340,
1903-10-15,      26.190,
1903-11-15,      26.360,
1903-12-15,      26.350,
1904-01-15,      27.220,
1904-02-15,      27.840,
1904-03-15,      28.290,
1904-04-15,      28.360,
1904-05-15,      28.180,
1904-06-15,      27.510,
1904-07-15,      27.790,
1904-08-15,      27.620,
1904-09-15,      27.140,
1904-10-15,      27.120,
1904-11-15,      27.170,
1904-12-15,      27.260,
1905-01-15,      27.650,
1905-02-15,      28.330,
1905-03-15,      29.280,
1905-04-15,      28.910,
1905-05-15,      29.250,
1905-06-15,      28.510,
1905-07-15,      28.050,
1905-08-15,      27.830,
1905-09-15,      27.420,
1905-10-15,      26.760,
1905-11-15,      27.320,
1905-12-15,      27.090,
1906-01-15,      27.850,
1906-02-15,      28.600,
1906-03-15,      29.020,
1906-04-15,      28.940,
1906-05-15,      28.520,
1906-06-15,      27.740,
1906-07-15,      27.020,
1906-08-15,      26.790,
1906-09-15,      26.360,
1906-10-15,      26.130,
1906-11-15,      26.540,
1906-12-15,      26.520,
1907-01-15,      26.950,
1907-02-15,      27.870,
1907-03-15,      28.490,
1907-04-15,      28.510,
1907-05-15,      27.770,
1907-06-15,      27.370,
1907-07-15,      26.610,
1907-08-15,      26.140,
1907-09-15,      26.790,
1907-10-15,      26.040,
1907-11-15,      26.460,
1907-12-15,      26.770,
1908-01-15,      27.350,
1908-02-15,      28.060,
1908-03-15,      28.600,
1908-04-15,      28.280,
1908-05-15,      27.800,
1908-06-15,      27.490,
1908-07-15,      26.880,
1908-08-15,      26.810,
1908-09-15,      26.300,
1908-10-15,      26.420,
1908-11-15,      26.200,
1908-12-15,      26.290,
1909-01-15,      27.370,
1909-02-15,      27.660,
1909-03-15,      28.600,
1909-04-15,      28.140,
1909-05-15,      27.620,
1909-06-15,      26.530,
1909-07-15,      26.410,
1909-08-15,      26.100,
1909-09-15,      26.190,
